# file...... load_node_149.csv
# date...... Mon Jul 15 03:23:20 2019
# user...... (null)
# host...... (null)
# target.... meter 6938
# trigger... (none)
# interval.. 60
# limit..... 0
# timestamp,measured_real_power
2016-07-01 08:51:00 CDT,+596712
2016-07-01 08:52:00 CDT,+514963
2016-07-01 08:53:00 CDT,+509812
2016-07-01 08:54:00 CDT,+490464
2016-07-01 08:55:00 CDT,+514434
2016-07-01 08:56:00 CDT,+542905
2016-07-01 08:57:00 CDT,+501044
2016-07-01 08:58:00 CDT,+477856
2016-07-01 08:59:00 CDT,+449133
2016-07-01 09:00:00 CDT,+455916
2016-07-01 09:01:00 CDT,+487772
2016-07-01 09:02:00 CDT,+486676
2016-07-01 09:03:00 CDT,+457377
2016-07-01 09:04:00 CDT,+481771
2016-07-01 09:05:00 CDT,+492733
2016-07-01 09:06:00 CDT,+409640
2016-07-01 09:07:00 CDT,+354723
2016-07-01 09:08:00 CDT,+454048
2016-07-01 09:09:00 CDT,+433213
2016-07-01 09:10:00 CDT,+392479
2016-07-01 09:11:00 CDT,+455797
2016-07-01 09:12:00 CDT,+478686
2016-07-01 09:13:00 CDT,+423347
2016-07-01 09:14:00 CDT,+428698
2016-07-01 09:15:00 CDT,+385429
2016-07-01 09:16:00 CDT,+432898
2016-07-01 09:17:00 CDT,+383134
2016-07-01 09:18:00 CDT,+383169
2016-07-01 09:19:00 CDT,+430132
2016-07-01 09:20:00 CDT,+459207
2016-07-01 09:21:00 CDT,+410835
2016-07-01 09:22:00 CDT,+405199
2016-07-01 09:23:00 CDT,+450413
2016-07-01 09:24:00 CDT,+449354
2016-07-01 09:25:00 CDT,+416437
2016-07-01 09:26:00 CDT,+388517
2016-07-01 09:27:00 CDT,+457007
2016-07-01 09:28:00 CDT,+433495
2016-07-01 09:29:00 CDT,+387857
2016-07-01 09:30:00 CDT,+422839
2016-07-01 09:31:00 CDT,+483981
2016-07-01 09:32:00 CDT,+428064
2016-07-01 09:33:00 CDT,+445917
2016-07-01 09:34:00 CDT,+480335
2016-07-01 09:35:00 CDT,+492419
2016-07-01 09:36:00 CDT,+466188
2016-07-01 09:37:00 CDT,+514828
2016-07-01 09:38:00 CDT,+500392
2016-07-01 09:39:00 CDT,+507148
2016-07-01 09:40:00 CDT,+487167
2016-07-01 09:41:00 CDT,+466798
2016-07-01 09:42:00 CDT,+461105
2016-07-01 09:43:00 CDT,+458647
2016-07-01 09:44:00 CDT,+511641
